1|A shooting star! Quick Snowy, wish!|Tintin|The Shooting Star
2|A star too many in the Great Bear... It beats me!|Tintin|The Shooting Star
3|It looks like a huge ball of fire...|Tintin|The Shooting Star
4|This is it! The end of the world!!|Tintin|The Shooting Star
5|Hooray! It's only an earthquake!|Tintin|The Shooting Star
6|Hooray! The end of the world has been postponed!|Tintin|The Shooting Star
7|The dynamite! The crazy fool! He's taken the dynamite!|Tintin|The Shooting Star
8|This will blow away the cobwebs, eh, Snowy? What wonderful air...|Tintin|The Shooting Star
9|What?... A breeze? Isn't this a gale?|Tintin|The Shooting Star
10|I'm glad to hear it. I thought you were going to kill each other!|Tintin|The Shooting Star
11|He's as mad as a hatter!|Thomson and Thompson|The Shooting Star
12|I'm going to cause a sensation!|Thomson and Thompson|The Shooting Star
13|Quick, we must get a move on!|Thomson and Thompson|The Shooting Star
14|I don't want to go in the water!... Wow!... Wow!|Thomson and Thompson|The Shooting Star
15|Come on out, centipede! Let's see you in the daylight!|Captain Haddoc|The Shooting Star
16|Come down, by thunder, or I'll have you clapped in irons!|Captain Haddoc|The Shooting Star
17|Thundering typhoons!|Captain Haddoc|The Shooting Star
18|ALL HANDS ABOARD SHIP!... We sail at once.|Captain Haddoc|The Shooting Star
19|They'll find the sea-legs in a day or two...|Captain Haddoc|The Shooting Star
20|Pirates! Shipwreckers! Sea-lice! Filibusters! Hoodlums! Road-hogs! Freshwater swabs!|Captain Haddoc|The Shooting Star
21|Me? A semaphore?... You, why you're nothing but a...|Captain Haddoc|The Shooting Star
22|Ten thousand thundering typhoons!|Captain Haddoc|The Shooting Star
23|Gang of thieves! Black marketeers! Monopolizers! Turncoats! Ophicleides! Colosynths!|Captain Haddoc|The Shooting Star
24|Let me go! I'm going to tear those caterpillars into little pieces!|Captain Haddoc|The Shooting Star
25|Billions of blue blistering barnacles!... Dratted animal!... Wait till I catch the little pirate!|Captain Haddoc|The Shooting Star
26|Come on! We shall see what we shall see!... Show a leg! On deck with you!|Captain Haddoc|The Shooting Star
27|Worse than that!... We're out of whisky!|Captain Haddoc|The Shooting Star
28|This is the life, Snowy. A really quiet holiday for a change...|Tintin|Cigars of the Pharaoh
29|What a strange fellow!|Tintin|Cigars of the Pharaoh
30|No! No! Never in a thousand years! No one's going to turn me into a mummy!|Tintin|Cigars of the Pharaoh
31|My name? It won't mean a thing to you but at home they call me Tintin.|Tintin|Cigars of the Pharaoh
32|Amazing what a little publicity will do for you!|Tintin|Cigars of the Pharaoh
33|There aren't any wells on our way. And the desert spells death without water.|Tintin|Cigars of the Pharaoh
34|You see, one should never give up hope!|Tintin|Cigars of the Pharaoh
35|Marvellous... You mean dull as ditchwater!... Why doesn't someone fall overboard to brighten things up?|Snowy|Cigars of the Pharaoh
36|It's going to take more than that to catch me!|Snowy|Cigars of the Pharaoh
37|Hooray, I've learnt to talk Elephant!|Snowy|Cigars of the Pharaoh
38|We arrest you in the name of the law!|Thomson and Thompson|Cigars of the Pharaoh
39|I smell danger: there's dirty work somewhere round here...|Thomson and Thompson|Cigars of the Pharaoh
40|Bother! We were mistaken! To be precise we're a mistake.|Thomson and Thompson|Cigars of the Pharaoh
41|Goodness gracious! It's the ticket collecter! To be precise: we've collected a ticket!|Thomson and Thompson|Cigars of the Pharaoh
42|He's gone: it's all clear. To be precise: the all clear's gone!|Thomson and Thompson|Cigars of the Pharaoh
43|We heard about it, so this is where we are. To be precise: so where are we?|Thomson and Thompson|Cigars of the Pharaoh
44|A dart... Dipped in Rajaijah juice... The poison of madness?!|Tintin|The Blue Lotus
45|Quick! Speak! What you have to tell me?|Tintin|The Blue Lotus
46|Great snakes!... He can't have been kidnapped!|Tintin|The Blue Lotus
47|Bit speedy round here, eh?|Tintin|The Blue Lotus
48|Officer, I found this poor madman. Can you take care of him?|Tintin|The Blue Lotus
49|An opium den? Right! I'll be there tonight...|Tintin|The Blue Lotus
50|Crumbs, it's cold... Now what are they doing?... Taking cover?... I wonder...|Tintin|The Blue Lotus
51|Mad!... I'm going to go mad!|Tintin|The Blue Lotus
52|Chick... Chick... Chick... Chicken!|Tintin|The Blue Lotus
53|There isn't a moment to lose... I must get out of the city...|Tintin|The Blue Lotus
54|You saved my life. I shall never forget...|Tintin|The Blue Lotus
55|Well, that's torn it. Now I know what's in store for me.|Tintin|The Blue Lotus
56|Oh well, I've nothing to lose...|Tintin|The Blue Lotus
57|But Chang, all white men aren't wicked. You see, different peoples don't know enough about eachother.|Tintin|The Blue Lotus
58|Hands up gangster, or I'll 'photograph' you at point blank range!|Tintin|The Blue Lotus
59|Ha! Ha! None of that fell on deaf ears!...|Tintin|The Blue Lotus
60|Great snakes! We've come out through a safe!...|Tintin|The Blue Lotus
61|Yes, I'm inclined to agree!|Snowy|The Blue Lotus
62|What about a cup of tea for me?|Snowy|The Blue Lotus
63|Don't look now, but something tells me we're being followed...|Thomson and Thompson|The Blue Lotus
64|Vanished!... Vaporized!... Poor Captain! How dreadful!|Tintin|The Calculus Affair
65|Captain! Snowy's picked up a scent. Come on, let's follow him.|Tintin|The Calculus Affair
66|Great snakes! The wounded man... he's vanished!|Tintin|The Calculus Affair
67|Go on, Snowy! seek it out!|Tintin|The Calculus Affair
